time,T_C,ea_kPa,Rn_Wm2,U2_ms,RET_mm_hr,es_kPa,VPD_kPa,Delta_kPa_per_C,P_kPa,gamma_kPa_per_C,W,NR_mm_hr,FU2,ET_mm,P_mm,Surface_Temp_C
2025-08-26 00:00:00,25.70642,1.2632717349303701,-53.98228,4.078015,0.15514306824191487,3.3035426467540594,2.040270911823689,0.19571277381415683,100.57308664064,0.06655017739083122,0.746246364249845,-0.0030265538921238847,0.3040248585,0.04799484,0.0,24.0395
2025-08-26 00:30:00,25.24659,1.2152074487712297,-52.56641,3.116852,0.13294415917181063,3.2146057562867343,1.9993983075155046,0.19111153827095126,100.57308664064,0.0665219154010299,0.7417962828471586,-0.003000850624662709,0.2618298028,0.03213629,0.0,22.0736
2025-08-26 01:00:00,24.38638,1.1995763431239121,-47.92889,1.314048,0.0882702170856736,3.0538226312268737,1.8542462881029615,0.18274837518058185,100.57308664064,0.06646904532676988,0.733288928232009,-0.002832623287274459,0.18268670720000002,0.01734559,0.0,20.9293
2025-08-26 01:30:00,23.38737,1.180870950980143,-43.46173,1.188681,0.08122419121796186,2.875939107645775,1.6950681566656323,0.1734249824854668,100.57308664064,0.06640764435155859,0.723108380926483,-0.0026783319987247257,0.1771830959,0.004543839,0.0,21.5678
2025-08-26 02:00:00,23.68952,1.1285192513999074,-49.03622,3.178008,0.12820393496928884,2.928760197672778,1.8002409462728708,0.17620151189286212,100.57308664064,0.06642621504120143,0.7262216652622996,-0.0029833177406251906,0.2645145512,0.03306005,0.0,22.2298
2025-08-26 02:30:00,23.74666,1.0485730336277481,-43.62839,2.070471,0.10956482259839082,2.9388438875681073,1.8902708539403592,0.17673077787697952,100.57308664064,0.06642972696973426,0.7268070856670948,-0.002647923533963652,0.2158936769,0.0268783,0.0,20.8459
2025-08-26 03:00:00,22.44057,1.03216022256831,-35.58175,1.579799,0.09222840185528414,2.7157680130302686,1.6836077904619586,0.16496242959165283,100.57308664064,0.06634945229809562,0.7131602070933817,-0.002285242050859543,0.1943531761,0.01224496,0.0,21.1944
2025-08-26 03:30:00,21.84664,1.0875807474518717,-35.05999,1.299294,0.0801281939540664,2.6193176105309024,1.5317368630790307,0.1598339205306619,100.57308664064,0.06631294827790839,0.7067704336245255,-0.0023129482855373186,0.1820390066,0.005519035,0.0,20.7282
2025-08-26 04:00:00,21.27213,1.1568935678812617,-39.18719,1.534317,0.07718675911004856,2.528881672164838,1.3719881042835764,0.15500190546547385,100.57308664064,0.06627763784631246,0.7004800495591847,-0.0026550452741580526,0.1923565163,0.00354446,0.0,20.36
2025-08-26 04:30:00,21.1645,1.1779278972504335,-32.10786,2.141505,0.08634816372185078,2.5122461308410813,1.3343182335906478,0.15411053829725255,100.57308664064,0.06627102271036589,0.6992896211127438,-0.002186463010957047,0.21901206950000002,0.01916967,0.0,21.0227
2025-08-26 05:00:00,21.16248,1.1902481671021763,-32.23223,1.650479,0.07694874022910064,2.5119348314192647,1.3216866643170884,0.154093850627447,100.57308664064,0.06627089855748461,0.6992672430477089,-0.002195141799910531,0.19745602810000001,0.008259187,0.0,20.0677
2025-08-26 05:30:00,20.35457,1.195243401288087,-39.65994,1.319939,0.06577964860515291,2.3900991284975315,1.1948557272094444,0.14754081147993003,100.57308664064,0.06622124293653692,0.6902104860597952,-0.0028082056426899493,0.1829453221,0.02026566,0.0,19.4663
2025-08-26 06:00:00,21.061,1.0858096987450199,-41.37459,1.610529,0.08134952563164416,2.4963392074527633,1.4105295087077434,0.15325746517475533,100.57308664064,0.06626466141174589,0.6981413106635757,-0.002831349632314095,0.19570222310000002,0.03723113,0.0,20.558
